11-beta-Hydroxylase deficiency',OMIM:202010',Cortexolone',HMDB0000015'
11-beta-Hydroxylase deficiency',OMIM:202010',Androstenedione',HMDB0000053'
11-beta-Hydroxylase deficiency',OMIM:202010',Testosterone',HMDB0000234'
11-beta-Hydroxylase deficiency',OMIM:202010',17-Hydroxyprogesterone',HMDB0000374'
11-beta-Hydroxylase deficiency',OMIM:202010',Dehydroepiandrosterone sulfate',HMDB0001032'
11-beta-Hydroxylase deficiency',OMIM:202010',Fructosamine',HMDB0002030'
11-beta-Hydroxylase deficiency',OMIM:202010',21-Deoxycortisol',HMDB0004030'
11-beta-Hydroxylase deficiency',OMIM:202010',"CE(22:5(7Z,10Z,13Z,16Z,19Z))'",HMDB0010375'
"2,4-dienoyl-CoA reductase deficiency'",OMIM:616034',L-Carnitine',HMDB0000062'
"2,4-dienoyl-CoA reductase deficiency'",OMIM:616034',L-Lysine',HMDB0000182'
"2,4-dienoyl-CoA reductase deficiency'",OMIM:616034',L-Lactic acid',HMDB0000190'
2-Aminoadipic aciduria',OMIM:204750',Oxoadipic acid',HMDB0000225'
2-Ketoglutarate dehydrogenase complex deficiency',OMIM:203740',Acetoacetic acid',HMDB0000060'
2-Ketoglutarate dehydrogenase complex deficiency',OMIM:203740',Citric acid',HMDB0000094'
2-Ketoglutarate dehydrogenase complex deficiency',OMIM:203740',Fumaric acid',HMDB0000134'
2-Ketoglutarate dehydrogenase complex deficiency',OMIM:203740',L-Malic acid',HMDB0000156'
2-Ketoglutarate dehydrogenase complex deficiency',OMIM:203740',L-Lactic acid',HMDB0000190'
2-Ketoglutarate dehydrogenase complex deficiency',OMIM:203740',Oxoglutaric acid',HMDB0000208'
2-Ketoglutarate dehydrogenase complex deficiency',OMIM:203740',Pyruvic acid',HMDB0000243'
2-Ketoglutarate dehydrogenase complex deficiency',OMIM:203740',Succinic acid',HMDB0000254'
2-Ketoglutarate dehydrogenase complex deficiency',OMIM:203740',3-Hydroxybutyric acid',HMDB0000357'
2-Ketoglutarate dehydrogenase complex deficiency',OMIM:203740',Hydrogen carbonate',HMDB0000595'
2-Methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency',OMIM:300438',D-Glucose',HMDB0000122'
2-Methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency',OMIM:300438',L-Lactic acid',HMDB0000190'
2-Methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency',OMIM:300438',2-Methyl-3-hydroxybutyric acid',HMDB0000354'
2-Methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency',OMIM:300438',Tiglylglycine',HMDB0000959'
21-Hydroxylase deficiency',OMIM:201910',Androstenedione',HMDB0000053'
21-Hydroxylase deficiency',OMIM:201910',Dehydroepiandrosterone',HMDB0000077'
21-Hydroxylase deficiency',OMIM:201910',D-Glucose',HMDB0000122'
21-Hydroxylase deficiency',OMIM:201910',Testosterone',HMDB0000234'
21-Hydroxylase deficiency',OMIM:201910',17-Hydroxyprogesterone',HMDB0000374'
21-Hydroxylase deficiency',OMIM:201910',Potassium',HMDB0000586'
21-Hydroxylase deficiency',OMIM:201910',Sodium',HMDB0000588'
21-Hydroxylase deficiency',OMIM:201910',Hydrogen carbonate',HMDB0000595'
21-Hydroxylase deficiency',OMIM:201910',21-Deoxycortisol',HMDB0004030'
3-Hydroxy-3-methylglutaryl-CoA lyase deficiency',OMIM:246450',Ammonia',HMDB0000051'
3-Hydroxy-3-methylglutaryl-CoA lyase deficiency',OMIM:246450',L-Carnitine',HMDB0000062'
3-Hydroxy-3-methylglutaryl-CoA lyase deficiency',OMIM:246450',Cortisol',HMDB0000063'
3-Hydroxy-3-methylglutaryl-CoA lyase deficiency',OMIM:246450',D-Glucose',HMDB0000122'
3-Hydroxy-3-methylglutaryl-CoA lyase deficiency',OMIM:246450',L-Lactic acid',HMDB0000190'
3-Hydroxy-3-methylglutaryl-CoA lyase deficiency',OMIM:246450',Pyruvic acid',HMDB0000243'
3-Hydroxy-3-methylglutaryl-CoA lyase deficiency',OMIM:246450',3-Hydroxymethylglutaric acid',HMDB0000355'
3-Hydroxy-3-methylglutaryl-CoA lyase deficiency',OMIM:246450',3-Hydroxybutyric acid',HMDB0000357'
3-Hydroxy-3-methylglutaryl-CoA lyase deficiency',OMIM:246450',3-Methylcrotonylglycine',HMDB0000459'
3-Hydroxy-3-methylglutaryl-CoA lyase deficiency',OMIM:246450',Senecioic acid',HMDB0000509'
3-Hydroxy-3-methylglutaryl-CoA lyase deficiency',OMIM:246450',Hydrogen carbonate',HMDB0000595'
3-Hydroxy-3-methylglutaryl-CoA lyase deficiency',OMIM:246450',Glutaric acid',HMDB0000661'
3-Hydroxy-3-methylglutaryl-CoA lyase deficiency',OMIM:246450',3-Hydroxyisovaleric acid',HMDB0000754'
3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency',OMIM:605911',Acetoacetic acid',HMDB0000060'
3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency',OMIM:605911',L-Carnitine',HMDB0000062'
3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency',OMIM:605911',Cortisol',HMDB0000063'
3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency',OMIM:605911',Cholesterol',HMDB0000067'
3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency',OMIM:605911',D-Glucose',HMDB0000122'
3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency',OMIM:605911',L-Lactic acid',HMDB0000190'
3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency',OMIM:605911',Pyruvic acid',HMDB0000243'
3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency',OMIM:605911',3-Hydroxybutyric acid',HMDB0000357'
3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency',OMIM:605911',Glutaric acid',HMDB0000661'
3-Hydroxyacyl-CoA dehydrogenase deficiency',OMIM:231530',(R)-3-Hydroxybutyric acid',HMDB0000011'
3-Hydroxyacyl-CoA dehydrogenase deficiency',OMIM:231530',Ammonia',HMDB0000051'
3-Hydroxyacyl-CoA dehydrogenase deficiency',OMIM:231530',L-Carnitine',HMDB0000062'
3-Hydroxyacyl-CoA dehydrogenase deficiency',OMIM:231530',Cortisol',HMDB0000063'
3-Hydroxyacyl-CoA dehydrogenase deficiency',OMIM:231530',D-Glucose',HMDB0000122'
3-Hydroxyacyl-CoA dehydrogenase deficiency',OMIM:231530',L-Lactic acid',HMDB0000190'
3-Hydroxyacyl-CoA dehydrogenase deficiency',OMIM:231530',L-Acetylcarnitine',HMDB0000201'
3-Hydroxyacyl-CoA dehydrogenase deficiency',OMIM:231530',2-Hydroxyglutarate',HMDB0059655'
3-Hydroxyisobutyryl-coa hydrolase deficiency',OMIM:250620',L-Lactic acid',HMDB0000190'
3-Methyl-crotonyl-glycinuria',OMIM:210200',Ammonia',HMDB0000051'
3-Methyl-crotonyl-glycinuria',OMIM:210200',D-Glucose',HMDB0000122'
3-Methyl-crotonyl-glycinuria',OMIM:210200',Glycine',HMDB0000123'
3-Methyl-crotonyl-glycinuria',OMIM:210200',Hypoxanthine',HMDB0000157'
3-Methyl-crotonyl-glycinuria',OMIM:210200',L-Acetylcarnitine',HMDB0000201'
3-Methyl-crotonyl-glycinuria',OMIM:210200',Pyruvic acid',HMDB0000243'
3-Methyl-crotonyl-glycinuria',OMIM:210200',Uric acid',HMDB0000289'
3-Methyl-crotonyl-glycinuria',OMIM:210200',Xanthine',HMDB0000292'
3-Methyl-crotonyl-glycinuria',OMIM:210200',3-Methylcrotonylglycine',HMDB0000459'
3-Methyl-crotonyl-glycinuria',OMIM:210200',3-Hydroxyisovaleric acid',HMDB0000754'
3-Methylglutaconic aciduria type I',OMIM:250950',3-Hydroxyisovaleric acid',HMDB0000754'
"3-methylglutaconic aciduria type II, X-linked'",OMIM:302060',Pyruvic acid',HMDB0000243'
"3-methylglutaconic aciduria type II, X-linked'",OMIM:302060',2-Ethylhydracrylic acid',HMDB0000396'
3-Methylglutaconic Aciduria type V',OMIM:610198',L-Lactic acid',HMDB0000190'
3-Methylglutaconic Aciduria type V',OMIM:610198',2-Ethylhydracrylic acid',HMDB0000396'
3-Methylglutaconic Aciduria type VI',OMIM:614739',L-Lactic acid',HMDB0000190'
